,Case_insensitive,Case_sensitive
1266,Cache,
1267,Kansas,
1268,Kalamazoo,
1269,Charleston,
1270,Sebastian,
1271,Bossier Parish,
1272,Lawrenceship,
1273,Athens-Clarke unified government (balance),
1274,Athens-Clarke unified government (balance),
1275,Athens-Clarke unified government (balance),
1276,Chautauqua,
1277,Pickens,
1278,Thousand Oaks,
1279,Thousand Oaks,
1280,Ascension Parish,
1281,Lafayette,
1282,Lafayette,
1283,Amherst,
1284,Faulkner,
1285,Cochise,
1286,Mahoning,
1287,Yorkship,
1288,Simi Valley,
1289,Simi Valley,
1290,Washington,
1291,Topeka,
1292,Topeka,
1293,Topeka,
1294,Topeka,
1295,Berkshire,
1296,Norman,
1297,Norman,
1298,Fargo,
1299,Fargo,
1300,Fargo,
1301,Fargo,
1302,Hunterdon,
1303,San Juan,
1304,Gregg,
1305,Aurora,
1306,Wilmington,
1307,Wilmington,
1308,Abilene,
1309,Frisco,
1310,Odessa,
1311,San Luis Obispo,
1312,Columbia,
1313,Columbia,
1314,Wayne,
1315,Pearland,
1316,Saline,
1317,Victorville,
1318,Victorville,
1319,Kennebec,
1320,Douglas,
1321,Volusia,
1322,Delaware,
1323,Hartford,
1324,Hartford,
1325,Hartford,
1326,Hartford,
1327,Blair,
1328,Vallejo,
1329,Vallejo,
1330,Allentown,
1331,Allentown,
1332,Allentown,
1333,Allentown,
1334,Berkeley,
1335,Berkeley,
1336,Jasper,
1337,Richardson,
1338,Arvada,
1339,Odessa,
1340,Richland,
1341,Madison,
1342,Okaloosa,
1343,Amherst,
1344,Comanche,
1345,Jackson,
1346,Carroll,
1347,Ann Arbor,
1348,Ann Arbor,
1349,Ann Arbor,
1350,Ann Arbor,
1351,Carroll,
1352,Morgan,
1353,Missoula,
1354,Lisleship,
1355,Atlantic,
1356,Brazoria,
1357,Tom Green,
1358,Berkeley,
1359,Bonneville,
1360,Rochester,
1361,Rochester,
1362,Rochester,
1363,Rochester,
1364,Cambridge,
1365,Cambridge,
1366,Cambridge,
1367,Cambridge,
1368,Sugar Land,
1369,Sugar Land,
1370,Sumter,
1371,Clark,
1372,Lansing,
1373,Allegan,
1374,Arvada,
1375,La Crosse,
1376,Evansville,
1377,Evansville,
1378,College Station,
1379,College Station,
1380,Livingston Parish,
1381,Abilene,
1382,Henderson,
1383,Potter,
1384,Lowndes,
1385,Fairfield,
1386,Fairfield,
1387,Oswego,
1388,Clearwater,
1389,Clearwater,
1390,Beaumont,
1391,Beaumont,
1392,Monroe,
1393,Windham,
1394,Independence,
1395,Independence,
1396,Placer,
1397,Provo,
1398,Provo,
1399,Onslow,
1400,Hampshire,
1401,Miltonship,
1402,West Jordan,
1403,West Jordan,
1404,Murrieta,
1405,Murrieta,
1406,Pearland,
1407,Middlesex,
1408,Perryship,
1409,Smithtown,
1410,Wayne,
1411,Palm Bay,
1412,Palm Bay,
1413,El Monte,
1414,El Monte,
1415,Ingham,
1416,North Charleston,
1417,Carlsbad,
1418,Carlsbad,
1419,Sheboygan,
1420,Flagler,
1421,Broome,
1422,Temecula,
1423,Temecula,
1424,Clovis,
1425,Clovis,
1426,Gallatin,
1427,Fayette,
1428,Franklin,
1429,Springfield,
1430,Springfield,
1431,Meridian,
1432,Meridian,
1433,Delaware,
1434,Capitalship,
1435,Springfield,
1436,Stanislaus,
1437,Pennington,
1438,Calhoun,
